id,name,birthDate,gender,type
36987-2520,Bernadene,2017-08-28,F,Cat
0378-4472,Tomlin,2019-07-29,M,Dog
55154-6664,Markus,2016-06-28,M,Cat
51079-889,Luis,2014-12-20,M,Bird
43857-0287,Brien,2009-06-19,M,Cat
58836-0972,Osborn,2010-01-27,M,Bird
68084-621,Atlante,2017-07-01,F,Ferret
37000-101,Kip,2011-07-25,M,Hamster
24236-015,Brande,2018-04-16,F,Hamster
49288-0896,Sindee,2011-03-29,F,Dog
58668-5820,Blake,2006-11-15,M,Hamster
55648-545,Odilia,2006-10-29,F,Cat
63736-859,Helyn,2012-01-01,F,Ferret
54868-4558,Lou,2005-11-12,M,Cat
43538-600,Kevan,2016-03-22,M,Hamster
36987-1922,Britte,2015-10-07,F,Dog
43742-0157,Shelley,2013-09-09,M,Dog
49288-0641,Roze,2019-03-30,F,Dog
11118-1102,Bili,2008-06-05,F,Bird
66961-120,Bobbie,2004-05-10,M,Hamster
57955-5015,Nahum,2016-07-20,M,Dog
43857-0170,Robina,2003-10-13,F,Cat
63941-145,Olivie,2012-05-09,F,Dog
36987-1986,Denys,2017-10-24,F,Hamster
67938-2022,Sandro,2013-07-05,M,Ferret
42747-327,Micheil,2018-08-28,M,Ferret
48951-1107,Alexandre,2017-08-14,M,Dog
57237-014,Elberta,2012-04-11,F,Cat
0078-0442,Jackqueline,2018-02-21,F,Hamster
48951-8206,Fernandina,2011-12-14,F,Hamster
52125-574,Jamie,2006-11-28,M,Cat
54569-6043,Latisha,2013-08-13,F,Cat
44224-2000,Ike,2004-04-15,M,Dog
0268-1153,Sherwin,2014-06-19,M,Hamster
57955-1851,Burty,2019-01-03,M,Bird
76369-1001,Rubetta,2004-06-07,F,Ferret
68083-111,Ram,2012-04-16,M,Hamster
42211-102,Courtnay,2017-09-30,M,Dog
58517-240,Murdock,2019-01-16,M,Bird
43353-829,Sonny,2018-04-11,M,Bird
47682-184,L;urette,2005-01-03,F,Bird
54868-5847,Travers,2016-09-24,M,Bird
63304-905,Angelina,2018-10-25,F,Cat
53808-0419,Dougie,2005-08-21,M,Dog
63629-4390,Crosby,2010-03-21,M,Cat
49288-0400,Mirilla,2009-02-19,F,Ferret
41268-612,Chane,2015-08-04,M,Hamster
0904-5962,Donnell,2015-06-08,M,Cat
36987-1381,Harriott,2014-03-31,F,Hamster
55154-5876,Rice,2006-06-19,M,Bird
41268-344,Greer,2012-08-11,F,Cat
65597-107,Conrado,2013-07-30,M,Dog
54868-1796,Prudy,2014-10-04,F,Bird
33992-0113,Stirling,2017-12-28,M,Ferret
62175-486,Hagen,2010-12-20,M,Bird
21130-230,Joelle,2016-02-09,F,Dog
49349-954,Ddene,2016-01-23,F,Ferret
53877-005,Lelia,2006-10-13,F,Ferret
49873-113,Bartram,2008-02-06,M,Hamster
57664-228,Rex,2013-07-07,M,Ferret
56104-001,Adam,2011-07-21,M,Cat
54868-6266,Pavlov,2009-07-21,M,Ferret
66490-691,Gregg,2017-06-25,M,Hamster
65862-005,Bert,2018-06-28,M,Ferret
49738-622,Ernst,2010-01-24,M,Ferret
57337-057,Martie,2012-05-15,M,Dog
43846-0030,Vin,2009-03-16,M,Ferret
58876-107,Paxton,2006-01-19,M,Cat
55154-9384,Phelia,2013-09-11,F,Bird
52124-0106,Delmor,2006-07-07,M,Dog
0591-3508,Tammie,2009-07-11,F,Dog
55289-809,De witt,2012-05-30,M,Cat
75857-0001,Kipp,2003-09-13,M,Cat
42507-056,Duky,2015-02-15,M,Ferret
0363-0006,Ludwig,2011-02-03,M,Ferret
49643-341,Pia,2017-10-04,F,Hamster
55154-9557,Saul,2007-06-09,M,Bird
21695-043,Tallou,2008-09-06,F,Cat
0555-0762,Corbin,2017-09-18,M,Ferret
0378-0553,Paxon,2009-08-25,M,Dog
49035-289,Antons,2008-06-12,M,Ferret
0268-1412,Zabrina,2014-01-25,F,Bird
0406-9920,Dari,2019-01-07,F,Dog
43742-0410,Adara,2018-04-30,F,Dog
68788-9390,Akim,2008-08-15,M,Bird
51206-304,Pavla,2015-08-30,F,Dog
49527-022,Kesley,2011-09-20,F,Cat
59045-1005,Nicol,2014-09-18,F,Cat
21695-711,Everard,2005-07-16,M,Ferret
0186-4050,Jeddy,2013-09-22,M,Cat
49349-280,Correna,2009-02-25,F,Dog
49035-148,Aarika,2010-08-12,F,Hamster
47781-207,Angelita,2009-12-30,F,Ferret
52959-303,Elton,2012-04-14,M,Bird
0228-2530,Berni,2005-08-31,F,Bird
51079-976,Sheila,2018-06-26,F,Cat
68180-481,Judi,2018-02-22,F,Cat
49967-105,Dal,2010-02-26,M,Hamster
55315-102,Tadeo,2016-12-10,M,Dog
41190-074,Laird,2006-07-07,M,Hamster
13913-011,Cirilo,2012-01-01,M,Cat
0009-0049,Pavel,2016-12-10,M,Bird
40057-1001,Shanna,2018-11-08,F,Dog
0363-8203,Herold,2013-01-28,M,Ferret
53208-503,Darya,2007-12-14,F,Hamster
0409-7241,Desirae,2016-11-15,F,Bird
50436-7054,Arte,2017-05-04,M,Cat
52142-001,Janie,2016-07-09,F,Ferret
57664-106,Hana,2016-06-18,F,Dog
10157-9883,Kile,2017-02-08,M,Hamster
65649-511,Billi,2017-01-28,F,Cat
68084-525,Malinde,2017-10-03,F,Cat
37808-637,Corrinne,2007-05-06,F,Dog
52959-130,Teddy,2005-12-25,M,Ferret
63148-558,Myrah,2014-06-20,F,Hamster
56062-873,Isabel,2010-06-22,F,Hamster
65044-2678,Darsey,2015-07-11,F,Dog
49035-023,Bil,2005-07-09,M,Cat
49884-462,Samson,2009-04-14,M,Bird
49999-963,Kial,2010-10-04,F,Hamster
41595-1058,Ebenezer,2013-10-26,M,Hamster
0955-1030,Avie,2013-04-30,F,Dog
47335-727,Rouvin,2018-04-19,M,Bird
36987-2681,Liane,2018-01-09,F,Bird
37000-024,Salmon,2016-05-28,M,Cat
0555-0211,Em,2018-09-25,M,Dog
37000-154,Iseabal,2016-07-30,F,Bird
58394-016,Vanya,2009-09-22,F,Hamster
0904-6214,Kin,2019-05-02,M,Ferret
49035-105,Arther,2007-03-08,M,Hamster
10812-258,Lyndy,2004-02-08,F,Bird
64725-0161,Natalya,2003-11-13,F,Ferret
64117-276,Sallyann,2011-01-26,F,Cat
61957-0511,Aldous,2017-01-18,M,Hamster
52125-817,Jehanna,2014-03-17,F,Ferret
76237-136,Drake,2005-09-04,M,Ferret
37808-368,Matteo,2013-10-21,M,Dog
42912-0153,Kamillah,2012-12-09,F,Ferret
49288-0891,Bertie,2014-08-08,M,Hamster
59899-002,Enrico,2003-12-04,M,Ferret
36987-1714,Esme,2013-01-22,F,Ferret
49349-037,Abby,2007-10-14,F,Hamster
11489-076,Ronny,2013-09-28,F,Ferret
43269-831,Tyler,2005-07-25,M,Ferret
61300-0001,Theobald,2011-07-14,M,Bird
65862-123,Blanch,2017-08-30,F,Cat
68382-140,Waldemar,2018-09-05,M,Hamster
33992-8801,Chere,2007-04-26,F,Cat
44717-533,Mina,2017-09-03,F,Bird
65923-505,Marven,2006-12-27,M,Ferret
43857-0211,Jemmy,2012-07-07,F,Dog
65862-111,Mignonne,2007-07-01,F,Hamster
55154-5762,Emmey,2013-09-24,F,Cat
54868-3713,Frankie,2011-03-08,F,Ferret
36987-1677,Fawnia,2018-11-27,F,Cat
55289-014,Augustina,2008-02-23,F,Bird
63148-225,Hamel,2005-09-06,M,Hamster
37205-960,Fin,2010-08-15,M,Cat
0363-0438,Clemens,2014-12-24,M,Dog
0067-4990,Audre,2008-08-30,F,Ferret
0615-5578,Cindee,2013-12-29,F,Dog
64997-180,Ardyce,2014-09-14,F,Ferret
58668-4281,Samara,2003-10-09,F,Hamster
37808-444,Harbert,2010-07-04,M,Cat
50222-503,Mufinella,2017-10-20,F,Bird
62756-757,Papageno,2006-01-09,M,Hamster
66993-898,Faber,2003-09-12,M,Hamster
54575-949,Cairistiona,2016-12-05,F,Ferret
0535-0011,Dulci,2016-06-09,F,Hamster
61748-014,Inessa,2017-02-03,F,Dog
51079-255,Georgie,2010-03-25,F,Ferret
54838-136,Nelson,2005-08-14,M,Cat
65044-0831,Clari,2012-01-08,F,Cat
41163-751,Dacey,2009-08-13,F,Bird
42002-413,Mollie,2006-10-17,F,Hamster
36800-149,Tedd,2015-03-23,M,Cat
68180-435,Hyacintha,2010-11-01,F,Hamster
52544-981,Jaime,2018-03-16,M,Bird
65044-2415,Stearne,2011-04-14,M,Dog
0268-1398,Adolph,2011-07-27,M,Bird
49999-046,Willi,2005-09-21,F,Bird
0363-0470,Reade,2012-09-24,M,Hamster
68258-6096,Lazare,2003-11-05,M,Bird
60505-2805,Arny,2018-12-31,M,Hamster
52125-217,Talbert,2015-07-15,M,Ferret
36987-2542,Pryce,2005-01-16,M,Bird
59115-065,Guinevere,2015-06-28,F,Ferret
76388-713,Gordie,2012-06-20,M,Hamster
0591-0372,Farrand,2017-10-24,F,Dog
42023-148,Collie,2015-11-05,F,Hamster
33261-060,Mame,2004-12-29,F,Cat
58982-010,Kipp,2012-09-21,F,Ferret
10812-421,Cayla,2009-01-14,F,Ferret
49349-516,Concettina,2012-11-25,F,Hamster
0093-5142,Rosanna,2010-09-13,F,Hamster
58488-003,Michal,2016-09-16,F,Hamster
49349-872,Georgia,2012-04-22,F,Ferret
14783-034,Millicent,2012-06-20,F,Hamster
59779-957,Uri,2010-11-26,M,Cat
59762-5010,Isaak,2015-03-07,M,Hamster
58232-0801,Meier,2011-06-13,M,Dog
54868-4492,Eleonore,2014-07-06,F,Dog
42254-198,Myrilla,2018-07-26,F,Cat
13668-094,Ephrayim,2007-01-11,M,Dog
57687-290,Claudia,2019-05-26,F,Hamster
55154-1830,Francyne,2015-04-14,F,Bird
68258-6019,Haroun,2009-10-25,M,Ferret
17271-408,Abey,2018-06-12,M,Bird
55154-6131,Waring,2011-01-19,M,Dog
59779-006,Coralyn,2017-12-04,F,Bird
55301-291,Conan,2019-06-02,M,Ferret
0615-7654,Abigail,2015-12-10,F,Hamster
61314-044,Benedikt,2009-04-09,M,Bird
50988-174,Happy,2004-12-09,F,Cat
51672-1308,Neille,2008-01-25,F,Ferret
64942-1176,Giulia,2011-10-10,F,Bird
43857-0256,Corby,2004-10-19,M,Dog
10812-152,Myrtia,2017-11-18,F,Hamster
0187-1611,Sabine,2014-09-19,F,Dog
63874-687,Mechelle,2005-01-09,F,Dog
67938-0860,Karlie,2006-04-05,F,Hamster
49349-982,Hayley,2013-04-09,F,Ferret
55111-123,Rutger,2009-11-07,M,Bird
41250-677,Justinian,2006-09-07,M,Bird
0113-0817,Dimitry,2012-12-29,M,Ferret
33261-975,Reuven,2009-02-14,M,Hamster
57520-0367,Modestine,2015-06-23,F,Dog
0280-6070,Earlie,2006-04-16,M,Hamster
55289-436,Ginnie,2010-03-29,F,Cat
0378-6160,Niki,2007-02-24,F,Hamster
43353-852,Gerek,2009-12-03,M,Cat
55154-4988,Biron,2005-04-30,M,Ferret
0187-0771,Johnathon,2005-05-10,M,Cat
76237-269,Abramo,2007-09-25,M,Bird
47593-263,Henrie,2018-09-22,F,Ferret
49035-160,Dona,2008-12-22,F,Bird
41163-561,Wilmette,2011-09-01,F,Hamster
36987-1730,Pooh,2017-10-02,M,Bird
0069-0045,Junina,2014-01-13,F,Hamster
10237-826,Verena,2013-10-25,F,Ferret
10191-1841,Lukas,2005-12-01,M,Ferret
36987-2972,Dorothea,2013-06-11,F,Ferret
41190-047,Rustin,2008-01-05,M,Dog
21695-319,Bessie,2016-12-02,F,Hamster
34362-0235,Laurence,2015-09-02,M,Bird
64980-196,Ilka,2004-11-21,F,Cat
16590-002,Cate,2011-06-10,F,Hamster
66993-186,Donny,2012-07-07,F,Ferret
55154-4938,Skipper,2008-10-23,M,Bird
36987-1141,Natty,2013-04-24,M,Hamster
51389-112,Katinka,2008-12-06,F,Hamster
10742-8596,Lib,2018-06-23,F,Cat
63941-238,Alec,2005-01-15,M,Ferret
60512-6162,Keelby,2019-04-17,M,Ferret
49580-0413,Ethelred,2006-02-10,M,Dog
63539-021,Devin,2006-07-04,F,Ferret
10144-606,Collete,2004-07-06,F,Bird
24385-976,Caldwell,2014-06-19,M,Bird
21695-975,Klarrisa,2004-03-10,F,Hamster
57520-0544,Etan,2005-12-22,M,Cat
65862-327,Toddy,2006-06-10,M,Cat
60533-010,Sandy,2015-11-21,M,Ferret
33261-707,Olia,2019-04-19,F,Cat
58914-019,Joletta,2016-12-25,F,Bird
54868-4671,Valerye,2010-09-12,F,Hamster
66467-2130,Moss,2017-11-16,M,Dog
35356-011,Robyn,2009-01-06,F,Bird
61380-278,Marni,2013-07-07,F,Hamster
0944-2845,Blair,2007-09-30,F,Cat
60505-6093,Winna,2006-04-24,F,Cat
59351-0320,Pen,2017-05-23,F,Cat
50332-0118,Guillermo,2017-09-07,M,Ferret
0245-0085,Nefen,2013-03-19,M,Ferret
0143-9873,Remington,2014-01-27,M,Ferret
0085-1385,Rey,2014-04-12,F,Ferret
41520-057,Lynnette,2011-04-05,F,Cat
55154-1276,Noreen,2017-03-29,F,Cat
49349-607,Bar,2012-03-29,M,Ferret
50988-272,Harley,2004-12-24,F,Ferret
30698-423,Hephzibah,2016-10-22,F,Ferret
0002-4772,Libby,2015-01-18,F,Cat
24208-463,Leupold,2004-04-25,M,Cat
55154-5985,Say,2006-05-08,M,Ferret
57520-0392,Karolina,2013-01-05,F,Ferret
49288-0767,Taddeusz,2010-11-07,M,Dog
59062-1062,Dario,2009-10-10,M,Cat
68180-303,Etienne,2009-02-16,M,Bird
66336-059,Bernardo,2019-03-12,M,Bird
35356-317,Brinna,2018-09-18,F,Cat
63323-128,Ronalda,2010-01-14,F,Dog
68428-743,Agace,2007-02-02,F,Hamster
0615-2519,Nicoline,2004-03-10,F,Dog
0597-0024,Ellery,2009-12-26,M,Cat
55390-310,Corine,2007-07-14,F,Dog
0179-0140,Abbi,2014-04-12,F,Hamster
63354-350,Quintus,2009-04-06,M,Ferret
0363-0405,Berte,2015-08-03,F,Bird
76354-109,Gris,2014-11-29,M,Hamster
21695-102,Dorita,2018-12-09,F,Cat
49404-116,Gav,2007-09-17,M,Cat
68001-241,Cinda,2019-08-16,F,Cat
43063-372,Alvina,2010-01-08,F,Bird
55111-221,Marji,2008-05-23,F,Cat
68788-9827,Rudiger,2019-03-03,M,Ferret
0172-3925,Etta,2012-06-03,F,Hamster
55504-0230,Crosby,2015-06-11,M,Ferret
55154-2625,Muhammad,2004-05-27,M,Dog
65954-049,Faythe,2010-03-07,F,Dog
0093-7701,Daryl,2008-11-02,M,Bird
51367-007,Raynard,2006-02-10,M,Bird
49884-762,Rania,2010-02-22,F,Ferret
0037-6824,Irina,2004-01-27,F,Hamster
76074-152,Roselia,2015-12-20,F,Cat
62756-218,Calvin,2015-03-20,M,Dog
76450-050,Cornela,2016-08-25,F,Cat
54569-6121,Odetta,2015-02-02,F,Ferret
50474-808,Adora,2013-03-01,F,Dog
0126-0024,Dede,2017-09-18,F,Ferret
48951-8132,Vinny,2015-02-28,M,Dog
51645-601,Margi,2009-07-25,F,Cat
0904-6410,Bradan,2005-12-02,M,Cat
50383-249,Bryn,2014-11-11,M,Cat
55714-4528,Claribel,2005-06-24,F,Dog
63783-011,Dyan,2010-09-03,F,Hamster
36987-2438,Arnoldo,2014-12-18,M,Cat
36987-3301,Rustie,2009-11-11,M,Hamster
0615-6564,Jamison,2011-08-20,M,Cat
64942-1155,Brittani,2017-01-16,F,Hamster
37205-308,Alisha,2006-05-26,F,Ferret
59762-0046,Shaun,2019-03-06,M,Cat
63323-013,Hulda,2016-02-14,F,Bird
49035-206,Hamlen,2017-11-25,M,Dog
55910-180,Shirl,2016-05-15,F,Bird
52183-369,Eba,2015-11-28,F,Dog
42719-346,Lenard,2018-10-14,M,Hamster
57955-1271,Ferd,2014-01-25,M,Hamster
63187-107,Lowe,2011-03-27,M,Dog
54868-5945,Creighton,2010-04-09,M,Ferret
49348-851,Clarke,2013-01-04,M,Cat
48102-103,Constantina,2003-09-19,F,Cat
68016-532,Malchy,2017-05-31,M,Dog
63868-811,Herrick,2007-08-02,M,Cat
49349-259,Miltie,2018-12-18,M,Hamster
52124-1000,Carla,2006-03-08,F,Bird
10096-0155,Angel,2016-10-06,M,Cat
34460-6002,Beaufort,2011-02-11,M,Cat
0054-0079,Kahlil,2015-11-14,M,Hamster
49349-704,Seline,2016-02-23,F,Hamster
59262-361,Celka,2009-01-25,F,Ferret
49349-268,Wade,2006-09-03,M,Bird
25021-823,Northrup,2009-01-25,M,Ferret
57955-1751,Maggy,2014-04-03,F,Cat
68084-415,Merle,2012-12-08,F,Cat
53746-466,Dorisa,2016-01-28,F,Ferret
49288-0052,Leesa,2007-06-04,F,Bird
0574-7226,Brandy,2013-01-05,M,Cat
35356-780,Moll,2016-02-22,F,Bird
14290-571,Sheilakathryn,2006-07-07,F,Ferret
36987-1577,Murvyn,2011-12-11,M,Cat
57687-304,Neila,2012-05-22,F,Ferret
67253-741,Madelyn,2018-05-16,F,Hamster
68151-0245,Jamaal,2018-05-13,M,Ferret
0273-7007,Giuseppe,2014-07-14,M,Hamster
0378-4150,Davy,2014-04-27,M,Ferret
48951-1164,Jennee,2010-01-21,F,Dog
0781-3121,Angelique,2012-07-06,F,Dog
0641-6154,Chico,2010-05-22,M,Hamster
43063-053,Portie,2014-01-21,M,Bird
37205-575,Kasper,2003-10-23,M,Cat
49738-150,Tudor,2009-02-01,M,Ferret
59212-700,Diane,2018-02-05,F,Ferret
55154-2365,Clayton,2006-01-12,M,Dog
14783-453,Alva,2004-09-12,M,Hamster
68258-3031,Yuma,2018-06-30,M,Cat
10191-1873,Caitlin,2009-03-04,F,Hamster
43742-0018,Berri,2006-10-30,F,Hamster
55504-0100,Hamel,2008-03-16,M,Cat
17856-0823,Jermayne,2006-12-08,M,Bird
15127-962,Reagen,2016-05-02,M,Cat
31722-713,Darwin,2004-11-26,M,Ferret
58443-0021,Shari,2008-11-05,F,Ferret
0268-6506,Kristen,2007-02-16,F,Bird
17089-385,Donetta,2009-02-26,F,Bird
63736-016,Ernaline,2004-02-04,F,Bird
15127-835,Edward,2008-02-17,M,Bird
53329-801,Louisette,2012-02-29,F,Ferret
0517-2053,Baryram,2004-02-09,M,Hamster
37012-484,Jillana,2013-03-31,F,Hamster
13537-404,Ariel,2018-12-05,M,Bird
55910-328,Loni,2018-04-08,F,Ferret
76126-047,Gardy,2004-08-25,M,Ferret
55648-964,Normand,2010-11-19,M,Cat
63868-694,Daryl,2010-07-31,M,Hamster
58118-0353,Denys,2006-11-18,F,Ferret
43063-471,Wendye,2008-12-10,F,Ferret
0363-0271,Mignonne,2011-09-01,F,Hamster
36987-3351,Zoe,2017-06-09,F,Ferret
50268-686,Burl,2012-01-04,M,Hamster
55111-148,Susan,2005-10-16,F,Ferret
55700-020,Rod,2009-08-14,M,Cat
16714-207,Had,2015-08-14,M,Dog
49288-0885,Phedra,2014-03-06,F,Dog
52125-518,Lawrence,2015-12-20,M,Hamster
11822-0456,Haskel,2009-10-23,M,Bird
33332-014,Bone,2008-01-12,M,Hamster
0615-0170,Gram,2009-05-26,M,Dog
10889-106,Mattie,2005-05-02,M,Bird
68084-736,Bobbie,2015-10-03,M,Ferret
64679-185,Templeton,2009-12-16,M,Ferret
49349-527,Rhoda,2011-03-29,F,Ferret
65044-0611,Mordecai,2018-04-18,M,Cat
58118-5008,Orin,2004-12-19,M,Dog
49288-0491,Jule,2015-05-16,M,Hamster
61578-305,Cally,2005-06-26,F,Ferret
10542-010,Iolanthe,2011-12-05,F,Ferret
48951-7098,Zedekiah,2016-05-21,M,Ferret
0062-5356,Levon,2018-05-12,M,Bird
49884-835,Ursala,2016-05-19,F,Cat
30142-456,Rochester,2010-08-24,M,Ferret
57472-004,Annabella,2009-07-20,F,Dog
68479-313,Ruth,2003-12-09,F,Dog
53041-403,Marji,2018-08-31,F,Dog
63548-6352,Sharia,2014-08-06,F,Hamster
67296-0595,Northrup,2016-12-15,M,Hamster
0904-6406,Nancee,2016-10-29,F,Ferret
63629-3739,Rogers,2011-07-18,M,Hamster
52125-243,Melany,2019-06-27,F,Bird
51619-500,Anna-diana,2018-08-23,F,Ferret
36800-519,Lemuel,2017-10-08,M,Bird
0078-0360,Meade,2005-10-01,F,Bird
0378-1051,Bentley,2005-02-03,M,Dog
0378-2076,Curtis,2013-11-18,M,Dog
51079-386,Averyl,2006-11-07,F,Ferret
0363-4015,Tiffie,2009-07-24,F,Bird
52125-488,Elwood,2015-10-23,M,Hamster
64725-0993,Marti,2011-02-17,F,Cat
0268-6105,Goldi,2007-06-11,F,Dog
51655-112,Pepe,2013-10-12,M,Hamster
0603-4230,Delainey,2018-01-02,M,Hamster
49035-222,Kele,2010-10-13,M,Dog
62802-390,Nikita,2011-01-31,M,Cat
68462-153,Ashia,2016-02-06,F,Cat
36987-2681,Adrianne,2013-12-09,F,Cat
35356-542,Mersey,2011-10-29,F,Dog
53877-001,Lissi,2014-07-15,F,Ferret
60760-406,Layton,2017-11-21,M,Ferret
49349-563,Perkin,2014-05-30,M,Bird
0904-6345,Brynne,2019-02-17,F,Ferret
59279-505,Derick,2019-07-04,M,Bird
59078-045,Enrichetta,2005-06-05,F,Ferret
55910-255,Adolphe,2016-05-29,M,Ferret
55390-021,Connie,2009-03-22,M,Bird
0338-0003,Amata,2004-08-18,F,Ferret
54868-2391,Lesya,2010-05-11,F,Cat
43742-0057,Gloria,2015-04-28,F,Cat
61957-1113,Matti,2006-10-30,F,Bird
41520-255,Noel,2016-02-18,F,Cat
36800-479,Richie,2016-03-01,M,Hamster
10481-0112,Wilmette,2012-04-13,F,Hamster
60681-1295,Karlis,2011-10-16,M,Hamster
33261-222,Quinton,2012-09-13,M,Cat
10147-0882,Jenn,2018-12-24,F,Ferret
0615-7638,Rochella,2004-11-26,F,Dog
0268-0279,Graig,2006-01-06,M,Dog
36987-2735,Gris,2006-08-24,M,Dog
36987-3017,Gibby,2015-10-05,M,Ferret
62839-1455,Carissa,2014-06-04,F,Bird
0409-2266,Pippa,2010-07-14,F,Hamster
0268-1477,Adam,2018-10-14,M,Hamster
50436-0924,Bettina,2006-07-06,F,Hamster
0904-7927,Jacobo,2011-08-15,M,Hamster
0378-0040,Leia,2012-06-13,F,Ferret
53346-1307,Demetris,2010-02-15,M,Bird
12546-316,Abrahan,2014-03-30,M,Ferret
50436-0160,Van,2006-04-30,F,Bird
49884-021,Jamil,2016-04-13,M,Hamster
16714-392,Shaine,2018-07-22,F,Ferret
0113-0958,Kessia,2010-09-02,F,Hamster
13811-641,Caleb,2011-06-28,M,Bird
63868-980,Christophe,2010-10-19,M,Hamster
68391-238,Dickie,2007-01-06,M,Dog
13537-248,Beck,2005-12-16,M,Cat
68428-075,Marice,2014-11-19,F,Ferret
58118-1303,Reiko,2014-04-07,F,Cat
58118-0015,Caitrin,2010-05-11,F,Ferret
50242-135,Jillene,2019-04-18,F,Ferret
64205-640,Magnum,2018-01-02,M,Cat
37012-852,Emmet,2006-08-30,M,Hamster
49314-5801,Nilson,2007-01-25,M,Dog
0591-5789,Germana,2016-08-27,F,Dog
55154-2860,Karim,2012-09-30,M,Bird
57520-0178,Kalila,2019-06-01,F,Hamster
68745-1153,Denys,2004-12-12,M,Bird
48951-1203,Aurelie,2005-11-10,F,Bird
46123-023,Chris,2003-11-03,F,Cat
50580-730,Alidia,2010-10-02,F,Bird
58232-6002,Nil,2011-03-23,M,Dog
54868-1795,Sheri,2006-01-12,F,Dog
